family,model_label,assay_id,split,evaluated_rows,train_rows,test_rows,spearman,pearson,rmse,mae
tabular,ridge,PHOT_CHLRE_Chen_2023,distance_controlled,165231.0,2122.0,165231.0,-0.0904474413670242,-0.0862236538868562,1.2045925335594854,1.1461614262837143
tabular,ridge,Q8WTC7_9CNID_Somermeyer_2022,random,3332.0,26808.0,3351.0,0.8890107844186331,0.8458492587438846,1854.6218752546413,1266.0724171519
tabular,ridge,Q8WTC7_9CNID_Somermeyer_2022,single_to_multi,30587.0,1201.0,32309.0,0.6827549971700575,0.7633893860784402,3355.333557377254,2662.0606671301903
tabular,ridge,Q8WTC7_9CNID_Somermeyer_2022,low_to_high_k1,30587.0,1201.0,32309.0,0.6827549971700575,0.7633893860784402,3355.333557377254,2662.0606671301903
tabular,ridge,Q8WTC7_9CNID_Somermeyer_2022,low_to_high_k2,20665.0,12461.0,21049.0,0.8343381671023882,0.8221159579334116,2683.4536319134863,2035.382780224082
tabular,ridge,Q8WTC7_9CNID_Somermeyer_2022,seen_marginal_unseen_combo,30587.0,1201.0,30587.0,0.6827549971700575,0.7633893860784402,3355.333557377254,2662.0606671301903
tabular,ridge,Q8WTC7_9CNID_Somermeyer_2022,epistasis_enriched,6118.0,1201.0,6118.0,0.7792335489738075,0.7705530999836402,5154.959286021935,4704.560201607535
tabular,ridge,Q8WTC7_9CNID_Somermeyer_2022,distance_controlled,19765.0,1201.0,21049.0,0.7519043783139936,0.7811601352757884,3869.6793779811687,3270.576019355499
tabular,ridge,RASK_HUMAN_Weng_2022_abundance,random,2576.0,20809.0,2602.0,0.8681246217382033,0.8549077082342446,0.2027456562652608,0.1595680325916269
tabular,ridge,RASK_HUMAN_Weng_2022_abundance,single_to_multi,22214.0,3066.0,22946.0,0.8558304797418873,0.8359588045537476,0.3603953124418964,0.300704122132033
tabular,ridge,RASK_HUMAN_Weng_2022_abundance,low_to_high_k1,22214.0,3066.0,22946.0,0.8558304797418873,0.8359588045537476,0.3603953124418964,0.300704122132033
tabular,ridge,RASK_HUMAN_Weng_2022_abundance,low_to_high_k2,,26012.0,0.0,,,,
tabular,ridge,RASK_HUMAN_Weng_2022_abundance,seen_marginal_unseen_combo,22214.0,3066.0,22214.0,0.8558304797418873,0.8359588045537476,0.3603953124418964,0.300704122132033
tabular,ridge,RASK_HUMAN_Weng_2022_abundance,epistasis_enriched,4443.0,3066.0,4443.0,0.6012402158728541,0.5537653555477116,0.4690539038707633,0.4060002011319362
tabular,ridge,RASK_HUMAN_Weng_2022_abundance,distance_controlled,,3066.0,0.0,,,,
